Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Channel,Order_Type,Profit,Profit_Margin
ORD00001,2025-11-24,CUST1302,Keyboard,Accessories,North,2.0,1500,0.05,2850.0,1700,Website,Sale,1150.0,0.40350877192982454
ORD00002,2025-04-22,CUST1112,Laptop,Electronics,East,5.0,55000,0.05,261250.0,180000,Website,Sale,81250.0,0.31100478468899523
ORD00003,2025-03-23,CUST1047,Headphones,Accessories,East,3.0,2500,0.05,7125.0,4050,Marketplace,Sale,3075.0,0.43157894736842106
ORD00004,2025-11-06,CUST1040,Laptop,Electronics,East,6.0,55000,0.15,280500.0,216000,App,Sale,64500.0,0.22994652406417113
ORD00005,2025-05-07,CUST1443,Monitor,Electronics,East,1.0,12000,0.05,11400.0,7600,Website,Sale,3800.0,0.3333333333333333
ORD00006,2025-11-22,CUST1311,Headphones,Accessories,North,3.0,2500,0.05,7125.0,4050,App,Sale,3075.0,0.43157894736842106
ORD00007,2025-03-25,CUST1117,Keyboard,Accessories,East,6.0,1500,0.2,7200.0,5100,Marketplace,Sale,2100.0,0.2916666666666667
ORD00008,2025-07-25,CUST1073,Mouse,Accessories,South,5.0,800,0.1,3600.0,2100,App,Sale,1500.0,0.4166666666666667
ORD00009,2025-03-10,CUST1260,Webcam,Accessories,East,5.0,3200,0.15,13600.0,9500,Website,Sale,4100.0,0.3014705882352941
ORD00010,2025-02-26,CUST1270,Smartphone,Electronics,North,6.0,28000,0.15,142800.0,123000,Website,Sale,19800.0,0.13865546218487396
ORD00011,2025-12-15,CUST1001,Keyboard,Accessories,South,6.0,1500,0.1,8100.0,5100,Marketplace,Sale,3000.0,0.37037037037037035
ORD00012,2025-09-14,CUST1078,Monitor,Electronics,South,6.0,12000,0.1,64800.0,45600,App,Sale,19200.0,0.2962962962962963
ORD00013,2025-09-29,CUST1122,Headphones,Accessories,North,4.0,2500,0.0,10000.0,5400,Website,Sale,4600.0,0.46
ORD00014,2025-02-13,CUST1135,Monitor,Electronics,North,5.0,12000,0.05,57000.0,38000,Website,Sale,19000.0,0.3333333333333333
ORD00015,2025-04-19,CUST1224,Mouse,Accessories,West,6.0,800,0.1,4320.0,2520,Website,Sale,1800.0,0.4166666666666667
ORD00016,2025-05-07,CUST1036,Headphones,Accessories,North,1.0,2500,0.2,2000.0,1350,App,Sale,650.0,0.325
ORD00017,2025-04-02,CUST1276,Headphones,Accessories,North,1.0,2500,0.2,2000.0,1350,App,Sale,650.0,0.325
ORD00018,2025-08-31,CUST1216,Tablet,Electronics,East,4.0,22000,0.05,83600.0,62000,Website,Sale,21600.0,0.2583732057416268
ORD00019,2025-12-11,CUST1127,Monitor,Electronics,North,1.0,12000,0.15,10200.0,7600,Website,Sale,2600.0,0.2549019607843137
ORD00020,2025-03-13,CUST1025,Keyboard,Accessories,North,4.0,1500,0.05,5700.0,3400,Website,Sale,2300.0,0.40350877192982454
ORD00021,2025-02-17,CUST1084,Webcam,Accessories,West,4.0,3200,0.15,10880.0,7600,Marketplace,Sale,3280.0,0.3014705882352941
ORD00022,2025-08-21,CUST1382,Tablet,Electronics,North,2.0,22000,0.05,41800.0,31000,App,Sale,10800.0,0.2583732057416268
ORD00023,2025-09-02,CUST1345,Smartphone,Electronics,West,1.0,28000,0.2,22400.0,20500,Website,Sale,1900.0,0.08482142857142858
ORD00024,2025-10-19,CUST1133,Laptop,Electronics,South,5.0,55000,0.0,275000.0,180000,Marketplace,Sale,95000.0,0.34545454545454546
ORD00025,2025-05-03,CUST1004,Smartphone,Electronics,North,6.0,28000,0.1,151200.0,123000,Website,Sale,28200.0,0.1865079365079365
ORD00026,2025-02-07,CUST1145,Keyboard,Accessories,East,2.0,1500,0.1,2700.0,1700,App,Sale,1000.0,0.37037037037037035
ORD00027,2025-12-27,CUST1135,Laptop,Electronics,North,6.0,55000,0.2,264000.0,216000,App,Sale,48000.0,0.18181818181818182
ORD00028,2025-03-21,CUST1258,Mouse,Accessories,East,6.0,800,0.1,4320.0,2520,Website,Sale,1800.0,0.4166666666666667
ORD00029,2025-02-17,CUST1082,Keyboard,Accessories,North,1.0,1500,0.0,1500.0,850,Website,Sale,650.0,0.43333333333333335
ORD00030,2025-10-15,CUST1220,Monitor,Electronics,East,6.0,12000,0.05,68400.0,45600,Marketplace,Sale,22800.0,0.3333333333333333
ORD00031,2025-01-21,CUST1317,Mouse,Accessories,South,6.0,800,0.0,4800.0,2520,App,Sale,2280.0,0.475
ORD00032,2025-01-04,CUST1136,Smartphone,Electronics,South,6.0,28000,0.1,151200.0,123000,Website,Sale,28200.0,0.1865079365079365
ORD00033,2025-07-15,CUST1420,Tablet,Electronics,South,2.0,22000,0.05,41800.0,31000,App,Sale,10800.0,0.2583732057416268
ORD00034,2025-01-13,CUST1179,Webcam,Accessories,West,3.0,3200,0.1,8640.0,5700,App,Sale,2940.0,0.3402777777777778
