Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Cost,Channel
ORD00001,2025-11-24,CUST1302,Keyboard,Accessories,North,2,1500,0.05,2850.0,1700,Website
ORD00002,2025/04/22,CUST1112,Laptop,Electronics,East,5,55000,0.05,261250.0,180000,Website
ORD00003,2025-03-23,CUST1047,Headphones,Accessories,East,3,2500,0.05,7125.0,4050,Marketplace
ORD00004,2025/11/06,CUST1040,Laptop,Electronics,EAST,6,55000,0.15,280500.0,216000,APP
ORD00005,05/07/2025,CUST1443,Monitor,Electronics,East,1,12000,0.05,11400.0,7600,website
ORD00006,2025-11-22,CUST1311,Headphones,Accessories,north,3,2500,0.05,7125.0,4050,App
ORD00007,2025-03-25,CUST1117,Keyboard,Accessories,EAST,6,1500,0.2,7200.0,5100,Marketplace
ORD00008,2025/07/25,CUST1073,Mouse,Accessories,South,5,800,0.1,3600.0,2100,APP
ORD00009,03/10/2025,CUST1260,Webcam,Accessories,EAST,5,3200,0.15,13600.0,9500,Website
ORD00010,2025/02/26,CUST1270,Smartphone,Electronics,north,6,28000,0.15,142800.0,123000,Website
ORD00011,2025/12/15,CUST1001,Keyboard,Accessories,South ,6,1500,10%,8100.0,5100,Marketplace
ORD00012,14/09/2025,CUST1078,Monitor,Electronics,South,6,12000,0.1,64800.0,45600,APP
ORD00013,09-29-2025,CUST1122,Headphones,Accessories,north,4,2500,0%,10000,5400,Website
ORD00014,13/02/2025,CUST1135,Monitor,Electronics,north,5,12000,0.05,57000.0,38000,website
ORD00015,04-19-2025,CUST1224,Mouse,Accessories,West,6,800,0.1,4320.0,2520,Website
ORD00016,2025-05-07,CUST1036,Headphones,Accessories,North,1,2500,0.2,2000.0,1350,App
ORD00017,04/02/2025,CUST1276,Headphones,Accessories,north,1,2500,0.2,2000.0,1350,APP
ORD00018,08-31-2025,CUST1216,Tablet,Electronics,EAST,4,22000,5%,83600.0,62000,Website
ORD00019,2025-12-11,CUST1127,Monitor,Electronics,north,1,12000,0.15,10200.0,7600,website
ORD00020,2025-03-13,CUST1025,Keyboard,Accessories,north,4,1500,0.05,5700.0,3400,Website
ORD00021,2025-02-17,CUST1084,Webcam,Accessories,West,4,3200,0.15,10880.0,7600,Marketplace
ORD00022,2025-08-21,CUST1382,Tablet,Electronics,North,2,22000,0.05,41800.0,31000,APP
ORD00023,2025-09-02,CUST1345,Smartphone,Electronics,West,1,28000,20%,22400.0,20500,Website
ORD00024,10-19-2025,CUST1133,Laptop,Electronics,South ,5,55000,0,275000,180000,Marketplace
ORD00025,2025-05-03,CUST1004,Smartphone,Electronics,north,6,28000,0.1,151200.0,123000,Website
ORD00026,02-07-2025,CUST1145,Keyboard,Accessories,EAST,2,1500,0.1,2700.0,1700,APP
ORD00027,27/12/2025,CUST1135,Laptop,Electronics,North,6,55000,0.2,264000.0,216000,APP
ORD00028,03-21-2025,CUST1258,Mouse,Accessories,EAST,6,800,0.1,4320.0,2520,Website
ORD00029,02-17-2025,CUST1082,Keyboard,Accessories,north,1,1500,0,1500,850,website
ORD00030,15/10/2025,CUST1220,Monitor,Electronics,East,6,12000,0.05,68400.0,45600,Marketplace
ORD00031,2025/01/21,CUST1317,Mouse,Accessories,South,6,800,0,4800,2520,App
ORD00032,01/04/2025,CUST1136,Smartphone,Electronics,South ,6,28000,0.1,151200.0,123000,Website
ORD00033,07-15-2025,CUST1420,Tablet,Electronics,South,2,22000,0.05,41800.0,31000,App
ORD00034,01-13-2025,CUST1179,Webcam,Accessories,West,3,3200,0.1,8640.0,5700,APP
ORD00035,2025-06-19,CUST1305,Keyboard,Accessories,South ,2,1500,0.2,2400.0,1700,Marketplace
ORD00036,2025/08/12,CUST1000,Monitor,Electronics,EAST,4,12000,0.2,38400.0,30400,APP
ORD00037,12-18-2025,CUST1319,Mouse,Accessories,EAST,3,800,15%,2040.0,1260,Website
ORD00038,03/06/2025,CUST1215,Webcam,Accessories,West,3,3200,0.15,8160.0,5700,App
ORD00039,11-12-2025,CUST1238,Webcam,Accessories,South ,5,3200,0,16000,9500,App
ORD00040,09-19-2025,CUST1047,Smartphone,Electronics,EAST,6,28000,0,168000,123000,App
ORD00041,2025-12-11,CUST1233,Mouse,Accessories,South ,2,800,0%,1600,840,APP
ORD00042,2025-04-10,CUST1384,Webcam,Accessories,North,4,3200,0.15,10880.0,7600,website
ORD00043,2025/04/23,CUST1068,Tablet,Electronics,South ,1,22000,0.2,17600.0,15500,APP
ORD00044,2025/10/14,CUST1081,Tablet,Electronics,West,5,22000,0.2,88000.0,77500,website
ORD00045,2025-05-13,CUST1365,Keyboard,Accessories,East,5,1500,0.15,6375.0,4250,Marketplace
ORD00046,13/06/2025,CUST1032,Smartphone,Electronics,East,2,28000,0.05,53200.0,41000,APP
ORD00047,2025-08-27,CUST1438,Mouse,Accessories,north,4,800,0.15,2720.0,1680,website
ORD00048,02/09/2025,CUST1249,Keyboard,Accessories,West,4,1500,0.15,5100.0,3400,website
ORD00049,2025-01-15,CUST1201,Webcam,Accessories,South ,6,3200,0.05,18240.0,11400,Website
ORD00050,12/02/2025,CUST1232,Smartphone,Electronics,EAST,4,28000,5%,106400.0,82000,website
ORD00051,05-23-2025,CUST1114,Monitor,Electronics,EAST,4,12000,0,48000,30400,Website
ORD00052,2025-01-16,CUST1288,Laptop,Electronics,West,5,55000,0.05,261250.0,180000,Marketplace
ORD00053,07-08-2025,CUST1294,Monitor,Electronics,West,2,12000,10%,21600.0,15200,website
ORD00054,2025-04-12,CUST1407,Mouse,Accessories,EAST,1,800,0.1,720.0,420,Website
ORD00055,2025/06/27,CUST1054,Headphones,Accessories,East,-2,2500,0.2,-4000.0,-2700,website
ORD00056,2025/12/29,CUST1238,Smartphone,Electronics,South ,6,28000,0.2,134400.0,123000,APP
ORD00057,2025/05/18,CUST1291,Mouse,Accessories,West,1,800,0.1,720.0,420,Marketplace
ORD00058,01-15-2025,CUST1143,Headphones,Accessories,South ,2,2500,0.15,4250.0,2700,Marketplace
ORD00059,12/10/2025,CUST1353,Mouse,Accessories,South ,1,800,0.05,760.0,420,website
ORD00060,08-18-2025,CUST1242,Keyboard,Accessories,East,2,1500,0.15,2550.0,1700,website
ORD00061,09/10/2025,CUST1161,Tablet,Electronics,north,3,22000,0.1,59400.0,46500,App
ORD00062,04-09-2025,CUST1051,Tablet,Electronics,East,3,22000,0.2,52800.0,46500,App
ORD00063,2025-07-04,CUST1283,Laptop,Electronics,South,6,55000,0.2,264000.0,216000,website
ORD00064,2025-02-22,CUST1129,Keyboard,Accessories,West,4,1500,0.15,5100.0,3400,Website
ORD00065,02-03-2025,CUST1043,Monitor,Electronics,North,5,12000,0,60000,38000,APP
